Index	GC_P_B44	GC_N_B57	GC_N_B66_1	GC_N_B01	GC_P_B22	GC_N_B50	GC_P_B34	GC_N_B63	GC_P_B04_1	GC_P_B43	GC_N_B02	GC_N_B23
M470	9.03E-05	0.000419776	7.49E-06	0.002580867	4.81E-06	4.55E-06	2.52E-05	1.10E-05	0.006486137	1.29E-06	3.56E-06	6.46E-05
M471	0.00012646	0.000157181	3.70E-06	0.000434489	1.54E-06	2.13E-06	1.02E-05	3.95E-06	0.001429927	5.60E-07	2.16E-06	4.35E-05
M472	0.000187117	8.00E-05	1.22E-05	0.000176492	4.91E-07	7.51E-07	5.03E-06	7.79E-06	0.002576466	2.02E-10	1.16E-06	4.87E-05
M473	0.00014952	0.000117485	8.31E-06	0.000469706	9.00E-07	1.92E-06	7.50E-06	5.97E-06	0.001670405	3.50E-07	1.57E-06	6.58E-05
M474	5.28E-05	0.000152104	7.62E-06	0.000589128	5.34E-07	9.54E-07	9.80E-06	6.16E-06	0.001847138	2.51E-07	1.76E-06	5.80E-05
M475	0.000210085	7.03E-05	5.89E-06	0.000838296	1.45E-06	1.02E-06	3.88E-06	1.18E-05	0.001396399	2.68E-10	1.38E-06	7.34E-05
M476	0.000180598	0.000124458	5.13E-06	3.51E-05	7.46E-07	7.77E-07	6.88E-06	6.42E-06	0.002383227	1.98E-10	2.06E-06	5.90E-05
M477	3.63E-05	0.000195169	2.01E-05	0.000826247	3.39E-06	7.27E-07	1.34E-05	1.81E-05	0.005904811	4.03E-10	2.14E-06	0.000137216
M478	7.28E-05	0.000224535	1.04E-05	0.000478699	1.87E-06	1.17E-06	1.11E-05	9.35E-06	0.004372212	2.53E-07	5.09E-06	0.000118112
M479	4.98E-05	0.00021015	1.47E-05	0.000376883	1.23E-06	1.60E-06	1.11E-05	1.46E-05	0.005759501	1.15E-06	3.59E-06	0.000123465
M480	0.000162693	0.000154377	6.98E-06	0.000328471	8.65E-07	1.14E-06	9.66E-06	5.26E-06	0.002432822	1.14E-07	1.44E-06	5.04E-05
M481	0.000197452	0.000148396	5.40E-06	0.001703076	7.55E-07	4.48E-07	9.14E-06	1.14E-05	0.003050096	5.29E-07	1.57E-06	5.61E-05
M482	0.000175988	0.000155225	1.18E-05	0.000846972	1.46E-06	1.39E-06	6.72E-06	1.10E-05	0.004873892	5.04E-08	4.20E-06	0.000140157
M483	0.000108612	0.000211639	2.97E-06	0.001788656	1.85E-06	1.18E-06	1.80E-05	6.09E-06	0.001990418	7.35E-09	3.04E-06	7.32E-05
M484	0.000107377	0.00011001	6.57E-06	0.001594941	1.54E-06	4.05E-06	5.42E-06	1.15E-05	0.003869588	2.49E-07	1.97E-06	8.06E-05
M485	0.004391845	0.000191097	2.11E-06	0.001792944	1.14E-06	1.17E-05	1.29E-05	6.97E-06	0.001637672	6.77E-07	1.88E-06	4.44E-05
M486	0.000494987	0.000420545	1.10E-05	0.001113056	3.05E-06	4.15E-06	3.86E-05	1.01E-05	0.006084126	5.25E-10	6.51E-06	0.000182829
M487	0.000114029	0.000154543	6.32E-06	0.00138733	1.65E-06	2.27E-06	1.26E-05	1.27E-05	0.002861561	9.49E-09	1.87E-06	6.00E-05
M488	5.85E-05	0.000379773	9.76E-06	0.00147995	2.80E-06	2.22E-06	3.25E-05	1.85E-05	0.005987415	4.83E-10	6.94E-06	0.000133697
M489	2.19E-05	0.000225279	1.57E-05	0.00327547	3.22E-06	1.18E-06	8.93E-06	2.69E-05	0.004164297	3.24E-10	3.08E-06	0.000167264
M490	7.36E-05	0.000447942	1.20E-05	0.003323067	2.16E-06	1.37E-06	3.17E-05	1.78E-05	0.004577187	4.03E-10	6.26E-06	0.000204168
M491	7.43E-05	0.000461522	1.04E-05	0.002360557	5.38E-06	1.16E-06	5.71E-05	1.82E-05	0.004013806	6.16E-08	7.66E-06	0.000192234
M492	9.25E-05	0.000567143	9.55E-06	0.002958279	5.38E-06	1.02E-05	5.02E-05	1.91E-05	0.006296777	2.70E-07	7.29E-06	0.000179221
M493	0.000254966	0.000155698	3.05E-06	0.001217034	9.56E-07	5.36E-07	1.02E-05	3.46E-06	0.001380295	1.31E-10	1.94E-06	5.45E-05
M494	0.000445725	0.000299491	5.91E-06	0.00112712	4.20E-06	8.18E-07	2.69E-05	1.87E-05	0.003870391	6.39E-08	4.21E-06	0.000166944
M495	0.000104855	0.000103441	7.09E-06	0.001115522	1.29E-06	1.16E-06	5.36E-06	1.04E-05	0.002525331	2.71E-10	8.86E-07	6.86E-05
M496	0.000346994	0.000214171	6.75E-06	0.000874494	2.54E-06	4.67E-06	2.28E-05	1.06E-05	0.003114723	3.46E-10	4.27E-06	7.56E-05
M497	0.000155352	5.76E-05	3.82E-06	0.001676204	1.12E-06	1.07E-06	5.25E-06	8.51E-06	0.002525783	2.56E-10	1.09E-06	8.95E-05
M498	0.000231167	0.000255787	3.35E-06	0.003041614	1.82E-06	1.82E-06	1.80E-05	1.21E-05	0.005257096	1.86E-07	4.11E-06	9.00E-05
M499	0.000213966	0.000137669	3.44E-06	0.000507531	6.82E-07	6.51E-07	1.49E-05	5.03E-06	0.001753247	1.71E-10	3.44E-06	3.35E-05
M500	0.000118839	0.000187186	6.72E-06	0.005015066	2.84E-06	1.37E-06	1.55E-05	1.09E-05	0.005419888	4.40E-10	2.79E-06	0.000117636
M501	0.000154952	0.000252142	3.74E-06	0.001170434	1.91E-06	6.08E-07	1.96E-05	6.20E-06	0.002779799	1.83E-10	3.00E-06	3.66E-05
