Index	LogFC	FDR	VIP
cc0012-1	0.709635853	8.52E-06	1.93666
cc0039-1	0.080709908	0.507437343	0.630572
cc0051-1	0.323389537	0.043507487	1.28698
cc0084-1_b	-0.319089514	0.077281212	1.25617
cc0161-1	-0.008333302	0.559766478	0.297198
cc0170-1	-0.30368364	1.83E-05	1.04213
cc0194-1_a	0.566359973	7.65E-05	1.87889
cc0194-1_b	0.362051632	0.012531511	1.64317
cc0266-1	-0.127932627	0.008568699	0.732503
cc0298-1_b	-0.29177456	0.067879908	1.33516
cc0324-1_a	0.024456929	0.676658057	0.685969
cc0324-1_b	0.531509079	0.002388643	1.39502
cc0325-1_a	0.048780425	0.495588635	0.870042
cc0325-1_b	0.470734573	0.002279194	1.31784
ccc063-1	0.042730055	0.299893929	0.264853
ccc077-1_a_L	-0.835844133	9.18E-06	2.29783
ccc077-1_a_R	-0.583216004	1.04E-05	2.58927
ccc080-1	-0.051421416	0.048522156	0.49176
ccc087-1_a	-0.157965427	3.10E-05	0.850052
ccc087-1_b	-0.729145115	2.92E-15	1.942
ccc088-1	-0.650519037	4.83E-06	2.77296
ccc119-1	-0.160462792	0.059379453	0.665803
ccc154-1	0.104995459	0.020047488	0.438531
ccc155-1_L	0.177318447	0.273435412	0.511308
ccc156-1_b_L	-0.817075954	5.99E-06	2.22935
ccc156-1_b_R	-0.600924511	3.73E-05	2.58314
Cmhp015_L	-0.176964409	0.841188414	1.09633
Cmhp015_R	0.499751026	2.17E-13	2.7043
Cmhp016_a_L	-0.312759114	0.00091123	0.816521
Cmhp016_a_R	-0.107709959	0.000868667	0.633264
Cmhp034	-0.242761483	0.002041418	0.509473
Cmhp044	-0.194692386	0.000891684	0.650073
Cmhp045_L	-0.071690349	0.245686878	0.645498
Cmzp0028	-1.391048135	5.37E-06	1.36002
Cmzp033_L	0.056143511	0.539694618	0.30447
Cmzp033_R	0.075724935	0.242458134	0.550802
DR1286-1	-0.301613504	6.78E-06	1.02174
DR1801-1_b_R	-0.34998507	7.14E-06	1.26115
DR1997-1	0.466773875	9.97E-13	2.49927
DR2246-1	0.297139824	0.007164642	1.18622
DR2435-1	-0.221105718	0.705814538	1.29485
DR2449-1	-0.188241631	9.01E-06	1.6196
DR2690-1	0.493087362	1.85E-13	2.68711
DR2703-1	0.977737014	1.01E-05	1.51349
DR2719-1	-0.244037375	0.59519938	1.33293
DR2751-1	0.078428535	0.014510594	0.695955
DR2763-1_a	-0.298582403	6.79E-07	1.23895
DR2763-1_b	-0.277974765	6.21E-07	1.21894
DR2764-1	0.572484389	5.68E-14	2.68368
DR2887-1_R	-0.343339823	5.30E-06	1.29912
DR2941-1	0.520075971	1.57E-13	2.72847
FBP-1196	-0.021057551	0.184155287	0.299449
FBP-2016	0.04079202	0.028941101	0.799237
FBP-2348	0.262225087	0.001028023	1.25516
FBP-412	-0.080017409	0.034680316	0.373321
FBP-435	0.008913494	0.325730011	0.290394
FBP-4588	-0.237186854	7.09E-06	1.22993
FBP-5182_a_L	0.012362157	0.699159266	0.39973
FBP-5182_a_R	-0.126730555	0.001287985	0.700309
FBP-892_a	-0.159523435	0.024911762	0.629883
Hmmp0001_b_L	0.558439878	6.33E-05	1.90646
Hmmp0001_b_R	0.346818817	0.012939025	1.70625
Hmpp0004_L	0.18554502	0.172752817	0.511135
Hmpp0004_R	0.162830626	0.145229198	0.543683
Hmpp0029_a_L	-0.6429461	6.32E-05	2.3797
Hmpp0029_a_M	-1.035994279	6.06E-06	2.29395
Hmpp0029_a_R	-0.861475847	3.23E-05	2.01612
HX-0003	-0.24117684	8.08E-05	1.13635
HX-0005	-0.163882124	0.030619235	0.692535
HX-0008	-0.345211018	4.93E-06	1.36825
IPP1022-1	-0.019079369	0.553091823	0.404343
IPP1037-1	0.045995375	0.016331068	0.475882
IPP323-1	-0.199353108	3.28E-07	1.06803
IPP338-1	0.00990536	0.411655048	0.0683397
IPP367-1	0.136212353	0.000529893	0.785836
IPP385-3	0.022649181	0.165775877	0.235941
IPP388-1	-0.051089587	0.254732678	0.446106
IPP406-1_L	-0.04870672	0.244009725	0.476379
IPP434-1_R	0.017396137	0.668183096	0.634669
IPP485-2_L	-0.188983849	9.05E-07	1.20722
IPP485-2_R	-0.092654164	3.26E-06	0.762676
IPP518-1	-0.052024683	0.76448939	0.139034
IPP540-2	-0.022049415	0.338580034	0.0849799
IPP545-2	-0.128741319	0.064062555	0.868306
IPP548-1	0.465260828	0.000625443	1.43478
IPP586-2	-0.33959433	6.32E-06	1.36076
IPP656-2	0.22136408	3.01E-06	1.15478
IPP678-1	0.079760459	0.27071905	0.708248
IPP683-1	-0.047594783	0.088173688	0.503157
IPP718-2	0.042491636	0.093984958	0.343064
IPP767-2_a	-0.661129719	0.000102631	2.15866
IPP812-1_L	0.124491485	0.550619572	0.407755
IPP896-3	0.05554111	0.003628094	0.534214
IPP901-1_L	-0.090218971	0.000336572	0.838768
IPP901-1_R	-0.176739619	0.000739773	0.836904
IPP949-1_M	0.050666678	0.458453871	0.576923
IPP949-1_R	0.079778858	0.172936467	0.61838
IPP978-4	0.032057621	0.51059363	0.311067
IPP988-3	-0.141825422	0.027851642	0.783998
MEDP0002	0.019115555	0.540208149	0.280703
MEDP0009_L	0.039133304	0.172441878	0.395493
MEDP0009_R	0.027827345	0.271448357	0.293038
MEDP0012	-0.038571663	0.507486828	0.603057
MEDP0015	0.090364409	0.000226191	0.717601
MEDP0017	-0.064035946	0.000263897	0.439
MEDP0020_L	0.210449505	0.002764517	0.757037
MEDP0020_R	0.163870999	0.003049195	0.669317
MEDP0021	0.019438733	0.029751272	0.294185
