"","cluster"
"GC_N_B01","4"
"GC_N_B02","4"
"GC_N_B03","5"
"GC_N_B05","5"
"GC_N_B06","5"
"GC_N_B07","5"
"GC_N_B09_4","5"
"GC_N_B10","5"
"GC_N_B102_1","4"
"GC_N_B107","5"
"GC_N_B108","4"
"GC_N_B11","5"
"GC_N_B116","5"
"GC_N_B12","5"
"GC_N_B125","4"
"GC_N_B135","2"
"GC_N_B136","2"
"GC_N_B138","2"
"GC_N_B14","5"
"GC_N_B20","5"
"GC_N_B21","5"
"GC_N_B23","3"
"GC_N_B30","4"
"GC_N_B32_4","5"
"GC_N_B35","5"
"GC_N_B36","5"
"GC_N_B37_1","5"
"GC_N_B38","3"
"GC_N_B40","2"
"GC_N_B42","5"
"GC_N_B46","4"
"GC_N_B48_3","5"
"GC_N_B50","2"
"GC_N_B54","2"
"GC_N_B57","4"
"GC_N_B59","2"
"GC_N_B60","5"
"GC_N_B61","5"
"GC_N_B63","2"
"GC_N_B64","5"
"GC_N_B66_1","4"
"GC_N_B68_1","5"
"GC_N_B82_1","2"
"GC_N_B83_1","4"
"GC_N_B84","5"
"GC_N_B86_4","2"
"GC_N_B87","2"
"GC_P_B04_1","4"
"GC_P_B08","5"
"GC_P_B101","5"
"GC_P_B103_1","5"
"GC_P_B109","5"
"GC_P_B111","5"
"GC_P_B112","1"
"GC_P_B114","5"
"GC_P_B123","5"
"GC_P_B126","5"
"GC_P_B13","5"
"GC_P_B130","5"
"GC_P_B15","5"
"GC_P_B16","5"
"GC_P_B18","5"
"GC_P_B19","5"
"GC_P_B22","4"
"GC_P_B24","5"
"GC_P_B26","2"
"GC_P_B27","2"
"GC_P_B28","4"
"GC_P_B29_4","4"
"GC_P_B34","5"
"GC_P_B41","5"
"GC_P_B43","4"
"GC_P_B44","4"
"GC_P_B45_1","5"
"GC_P_B47","5"
"GC_P_B51","5"
"GC_P_B55_1","5"
"GC_P_B58","2"
"GC_P_B62_1","4"
"GC_P_B69_1","4"
"GC_P_B71_1","5"
"GC_P_B72","2"
"GC_P_B73","2"
