Metabolite	meanImp	group
GC_P_B44	16.99463	4
GC_N_B57	16.75303	4
GC_N_B66_1	14.74575	4
GC_N_B01	13.65549	4
GC_P_B22	12.94833	4
GC_N_B50	12.22606	2
GC_P_B34	11.81041	5
GC_N_B63	11.52559	2
GC_P_B04_1	11.38366	4
GC_P_B43	11.08839	4
GC_N_B02	10.95007	4
GC_N_B23	9.323367	3
GC_P_B28	9.317114	4
GC_N_B35	9.278184	5
GC_N_B116	9.198408	5
GC_N_B46	9.093165	4
GC_P_B18	8.812672	5
GC_N_B82_1	8.513384	2
GC_N_B36	7.81755	5
GC_P_B26	7.804895	2
GC_N_B30	7.668932	4
GC_P_B29_4	7.548696	4
GC_N_B60	7.543544	5
GC_P_B69_1	7.480491	4
GC_P_B15	6.859365	5
GC_P_B24	6.599312	5
GC_P_B45_1	6.464636	5
GC_N_B102_1	6.435064	4
GC_N_B05	6.397402	5
GC_P_B62_1	6.353471	4
GC_P_B19	6.34166	5
GC_P_B123	6.184976	5
GC_N_B54	6.129314	2
GC_P_B47	5.992687	5
GC_P_B58	5.943153	2
GC_N_B108	5.915316	4
GC_N_B03	5.884391	5
GC_N_B68_1	5.251705	5
GC_N_B20	5.140004	5
GC_N_B64	5.108143	5
GC_P_B27	5.039643	2
GC_N_B84	5.034999	5
GC_N_B83_1	4.927859	4
GC_P_B101	4.912079	5
GC_N_B87	4.890547	2
GC_N_B07	4.768878	5
GC_N_B11	4.593143	5
GC_N_B138	4.396883	2
GC_P_B126	4.240396	5
GC_P_B55_1	4.206763	5
GC_P_B41	4.17292	5
GC_P_B103_1	4.150662	5
GC_P_B16	4.061738	5
GC_N_B09_4	3.982691	5
GC_N_B42	3.972895	5
GC_P_B51	3.892784	5
GC_N_B14	3.716466	5
