Index	GC_N_B01	GC_N_B02	GC_N_B03	GC_N_B05	GC_N_B06	GC_N_B07	GC_N_B09_4	GC_N_B10	GC_N_B102_1	GC_N_B107	GC_N_B108	GC_N_B11	GC_N_B116	GC_N_B12	GC_N_B125	GC_N_B135	GC_N_B136	GC_N_B138	GC_N_B14	GC_N_B20	GC_N_B21	GC_N_B23	GC_N_B30	GC_N_B32_4	GC_N_B35	GC_N_B36	GC_N_B37_1	GC_N_B38	GC_N_B40	GC_N_B42	GC_N_B46	GC_N_B48_3	GC_N_B50	GC_N_B54	GC_N_B57	GC_N_B59	GC_N_B60	GC_N_B61	GC_N_B63	GC_N_B64	GC_N_B66_1	GC_N_B68_1	GC_N_B82_1	GC_N_B83_1	GC_N_B84	GC_N_B86_4	GC_N_B87	GC_P_B04_1	GC_P_B08	GC_P_B101	GC_P_B103_1	GC_P_B109	GC_P_B111	GC_P_B112	GC_P_B114	GC_P_B123	GC_P_B126	GC_P_B13	GC_P_B130	GC_P_B15	GC_P_B16	GC_P_B18	GC_P_B19	GC_P_B22	GC_P_B24	GC_P_B26	GC_P_B27	GC_P_B28	GC_P_B29_4	GC_P_B34	GC_P_B41	GC_P_B43	GC_P_B44	GC_P_B45_1	GC_P_B47	GC_P_B51	GC_P_B55_1	GC_P_B58	GC_P_B62_1	GC_P_B69_1	GC_P_B71_1	GC_P_B72	GC_P_B73
M21201122a	2913.778863	188.5768114	1344.465745	8531.608781	237.0144332	6.076146571	4.475036066	17.84168049	279025.6392	231.6874705	486.7457752	11.60717066	27.34211382	49.45903811	2962.260961	293.2857842	9318.541515	32818.06709	3.394893887	0.278257642	1.086910097	40.55092918	9.575413605	15.83576239	13.6216976	7.213317581	202.5062317	15151.58842	388.6444237	169.9591773	2.98085141	0.713149765	11.32870668	145.4330709	1.597687636	13.68519629	0.908672664	914.2170491	2.16301768	9.745801081	0.579285718	13.67268406	0.014804115	14.08307266	6.743901835	66.5376685	37.22376039	1159.40769	43.0889106	30597.46934	8841.099654	62.18374258	37.13666865	39657.30242	3.959832554	54.34998369	110.3682276	3.142391835	6534.81643	2265.585236	0.830445795	2.830996363	0.435304215	4.957087014	0.206989851	14.50208424	60.7112923	2.902336775	11.26126702	2.044015619	51.38231033	3.36344877	29.03329521	0.861243697	0.480187608	4.034128321	3568.965129	80.37815243	2.422459827	282.0658826	0.645951539	23.00320449	0.199115224
M21201123a	1631.208986	179.3068722	691.8939452	7202.232469	76.17274564	6.428679547	2.348989418	25.83909006	174547.4544	162.956769	117.7205243	5.495735768	12.30431844	72.23533157	5373.492951	721.9121301	11108.00811	36610.11342	3.463857232	4.341568096	0.58037293	144.2605593	43.19357718	25.08871764	4.701380358	7.679953186	725.6332772	591186.902	519.1732318	66.88426297	138.0583566	0.538321159	11.62668556	288.3348745	2.469354191	11.00991683	3.189256971	258.7972371	1.759134252	0.431910784	0.638503715	2.965069029	0.01979383	254.2597075	2.403218245	102.6913637	17.83531453	495.6487402	79.33246097	22246.7723	7198.414784	27.24953169	15.98586639	262153.1152	11.8750451	24.81575319	78.41378089	2.389264489	7862.258686	2458.851437	0.795231972	5.843238679	43.60471967	4.505437413	0.366503194	19.94333326	37.49511077	2.890224786	28.33985031	2.43055798	15.5315882	4.220746509	49.67370956	128.4172	47.41086505	11.28084718	5086.517651	59.59897469	1.529634487	168.3998184	0.532158081	12.87758173	0.158455982
M21201124a	2973.122317	92.29371903	716.607986	8970.110618	144.6517561	2.274293435	3.999355953	2.789428018	290770.7389	262.1636381	271.2278551	14.44092353	3.573588247	46.22594452	4286.022085	541.5208029	8026.675254	17167.08265	0.31054761	0.83776013	1.969512251	215.9247601	0.084104101	2.74955015	0.6668993	4.494463712	772.4637797	571040.002	268.1228897	82.69950243	2.212893984	0.409030458	5.805295179	102.7665654	1.342438101	3.065773198	1.700879139	624.1556511	0.567027097	3.487437119	0.000232673	4.474605131	0.020029334	71.59793078	4.817475133	104.9194336	22.67519563	203.663091	240.227257	30445.07697	9558.722274	189.6258345	112.1512037	193715.5861	7.345700056	34.97275843	229.5802149	0.34908603	4265.662816	2629.451748	1.325446921	6.644921938	0.020680973	8.988419174	0.296702583	7.679257232	25.82058158	4.063108547	1.994660394	0.866289992	0.032827855	14.05233568	56.22604419	0.013361263	0.012840635	17.27009289	4216.17342	34.6235225	4.428188756	271.2025646	0.267088225	9.237585347	0.137228568
M21201126a	1368.630416	96.2599326	731.5723588	5950.107713	66.38502845	0.62748248	15.32539639	1.755402954	253492.0011	161.7307497	183.6587474	19.93723393	4.827639415	84.51466692	4765.093869	445.2821592	5460.20634	20506.25735	1.55692978	0.690822326	21.60628204	122.5074975	73.8969269	1.66248924	1.975711865	6.200247671	447.6410353	438852.9379	529.3653589	21.62380262	4.663322872	0.005490242	6.146011334	207.4713143	1.284600712	7.808764329	1.985207135	104.7111137	0.73744826	0.518206587	0.286653297	5.915806998	0.018711154	824.0910832	29.11600256	49.48716026	20.07638694	384.848925	11625.22738	28130.17726	9635.177021	47.5294534	32.64260635	25785.26941	11.40862531	39.35495161	90.99630296	0.992701481	2766.439793	2042.824785	0.666424909	3.908112157	5.021300778	4.892971941	0.343102618	17.77262458	49.87182059	2.422477764	9.165873736	1.571867056	5.504045137	6.806978776	53.91921474	24.12762009	4.750691046	0.581061344	3557.194333	83.48850156	2.715172145	196.7012188	0.197668613	15.84258062	0.151105435
M21201128a	2141.95966	176.3816667	856.9428393	9326.401883	111.8269799	3.806938084	3.489160613	1.716118249	192180.4428	171.8407537	385.3074781	15.88674521	21.26802773	62.42769037	5104.230454	310.9632088	9962.751472	24065.13989	1.689994224	6.741835087	0.833341375	61.20751465	22.01862137	1.62345396	4.130301335	5.790129482	491.8726888	735560.8158	455.4210411	21.17406511	2.57789465	0.365367544	11.35876571	110.4183331	2.04468185	7.456595283	0.668888458	434.8782376	0.619574497	0.969581819	0.290787291	12.44288579	0.008761824	171.7303861	9.006935691	39.41670997	27.27178002	683.158944	212.4853912	23496.20171	9426.893101	122.6108007	167.1414314	132464.8046	18.54982563	54.09079575	177.7786679	1.117565991	2609.606983	1888.33231	0.324206611	5.020046492	80.57654787	7.147023429	0.336538873	12.1406759	45.22735502	3.845293607	110.5444157	1.106087486	2.479059445	8.835863536	67.23950859	254.6532585	88.51387268	4.109206545	4895.019021	65.09718698	1.866575118	243.6871395	1.057381053	20.59220522	0.263982712
M21201129a	1214.385624	61.1484275	523.575162	4940.639842	32.61310655	6.945780102	1.222501501	0.322427828	199757.192	235.5916552	153.927571	0.770626893	8.911856197	42.29409212	4113.641908	816.1561512	10084.61225	22251.75634	0.408805231	0.482179087	1.698362707	182.7011844	0.301072586	0.008379647	7.628886264	3.562044783	549.8778601	556470.4833	417.2188481	12.52911432	1.076830321	0.300764396	3.377480852	89.05748408	1.196814822	5.515366585	0.128617105	242.2977316	1.261930288	0.352743571	0.000232673	2.355730587	0.016665812	741.2972957	4.395750111	110.4296602	27.83649139	729.0285888	278.7999677	16636.50466	6780.960592	82.92493899	30.95665119	32509.64474	29.3402669	0.774735748	120.2776441	0.147206258	3426.215613	2383.504962	1.346908451	2.482483256	1.44E-05	10.29282462	0.267810086	5.876778128	13.15629084	4.597538346	0.878942815	0.888300447	0.032827855	5.120860446	63.86842259	0.015469647	4.20E-05	3.348932363	3002.067231	17.39072449	3.947710461	379.2430834	0.414010168	7.19130897	0.053660947
M21201131a	2798.664962	146.1536095	1207.08245	8881.727913	504.3761687	4.826467544	67.33563161	5.144073088	256047.0602	263.344416	329.1737116	125.4348839	3.738975375	85.00139154	5691.955844	133.5581538	2413.482967	12303.55947	4.517306691	4.476805529	1.514059282	212.0794451	20.67800891	4.642552041	0.465267113	9.112547682	888.514114	653444.4029	281.0327833	37.09293049	17.16177453	6.265425841	8.074871678	122.3571793	2.414060723	7.278914121	11.51978224	169.7519329	0.876422705	0.956882996	0.000232673	2.001802884	0.011077994	100.3215023	188.013258	37.20197546	19.94019317	41.22825647	253.6112763	36816.59966	10057.13595	80.14857805	53.70898103	170948.9343	21.69388794	72.10972879	163.7931114	3.84608529	3728.686123	2218.498956	0.41726688	7.339636437	33.2437658	7.536243611	0.23784281	12.00579635	31.26874649	3.513409225	18.09982687	0.912381256	16.91804125	6.026214319	69.29023902	74.20460684	37.94178522	1.647230781	2686.467806	49.41207875	1.179735926	178.3998108	0.420637417	6.651020871	0.159287322
M21201134a	3405.230226	112.5514866	793.7803625	9371.208285	182.6617637	0.012087047	0.774125059	1.158413111	247064.8836	249.8811665	342.4096039	0.827906028	12.62991208	50.57555689	5347.532521	1235.000061	10545.20124	37384.4649	0.568677712	0.758399363	7.706620585	20.94884638	23.53000815	1.135835281	1.968797284	5.585206216	194.8637582	56625.79281	658.4191083	8.599430957	12.19283275	0.12458608	7.751251436	436.6578677	1.235689149	12.52050662	0.641114434	224.2237889	1.956474036	0.031131059	0.000232673	6.14952776	0.018116311	244.3957767	18.75737511	152.4380146	17.69984889	476.4862518	984.930094	26652.80474	8977.438193	79.6557875	81.14979862	155992.8529	13.02911843	46.58164845	185.9039127	0.59560356	1869.688365	2146.613528	0.649258177	7.830375154	2.630828088	10.42652588	0.391342649	10.61837215	23.36734016	5.858167365	6.640052398	0.419433065	4.062229432	11.56334475	79.13088348	4.067905551	2.43393922	5.783233854	3825.570749	35.41027768	4.614198062	340.7036347	0.367570436	9.512590971	0.136371859
M21201136a	2204.958155	113.2357538	821.3059061	10381.60145	105.5488533	27.93269104	2.941218968	8.867293173	171236.8238	202.7458241	230.2721995	46.85813639	7.736814981	1.101454414	5329.193105	547.1082939	12134.12391	22038.43368	3.607398597	0.426132794	0.032582898	36.71893951	40.75596735	9.867367917	1.331947203	7.927362464	206.2898613	121096.8467	475.4051615	98.78907781	2.075733943	2.123552316	5.619525824	97.09665484	2.567948423	8.521123464	1.04293454	471.6594847	0.943876557	0.031131059	0.127467412	4.914871445	0.010363043	101.0059933	5.26391049	80.45366653	16.73763116	241.4134604	866.9257735	21323.08641	6985.754505	136.0380757	81.00886295	118974.5184	14.06131988	29.67974454	157.2515844	2.313642944	2396.996387	2183.567577	0.428811886	4.730410563	1.44E-05	4.71305473	0.22350704	24.01846901	64.83658851	4.046567564	6.200915788	0.592243909	28.82102064	5.257775594	59.56508488	3.22E-05	0.008355767	7.759215316	2041.232263	102.5493915	0.959719792	325.2559204	0.268452243	18.56044812	0.212416226
M21201137a	2888.554957	105.3962654	1190.547413	7995.784639	63.90896091	11.03689968	7.332002616	32.24104242	188575.8347	164.9810766	351.8670335	53.75643432	19.10593425	62.93473462	4466.402809	699.4564412	13745.06982	22108.49618	7.271003229	0.793688891	4.837956575	24.99138527	0.299845241	37.42959894	1.385010216	8.884280306	729.0054	67238.36845	495.1954336	213.3740973	5.012026902	0.737978578	5.570657825	99.0030709	1.801974782	8.092036812	2.360630362	467.2194269	0.615620068	4.700792654	0.576173242	3.15437685	0.011890866	6.271031512	154.512841	70.22057363	24.35009183	189.0177759	365.2560578	35192.13789	11259.67027	93.64884423	99.49485003	127067.1408	22.30409105	75.73877938	276.5696582	4.738844857	7255.376823	1901.228513	0.275617404	5.109900241	0.099137699	7.318531198	0.224097088	14.21044882	43.43413914	5.843637563	6.702953062	0.803780953	30.01269311	7.372171427	61.92145162	0.138076249	0.081948491	0.640711545	4995.091878	54.62992991	4.156419164	297.8711104	3.328446848	28.06416257	0.271376983
